"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"Z5kOeISUYMI","2017","PjJrujKwMvY","xP7pDf7Dsya","OdLHu28BL28","0",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","cYxMZbJKie1","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","KLEhX0pJjLD","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","p9ngKMI1HlP","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","ICQVBpakGjE","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","LXuJtbiUk7o","OdLHu28BL28","22",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","R54ocOMuaZA","OdLHu28BL28","6",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","CuAKN91lKD6","OdLHu28BL28","51",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","MEQrzTnlr9a","OdLHu28BL28","13",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","VVHFpTkvtp2","OdLHu28BL28","51",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","FtKeuScH4zG","OdLHu28BL28","13",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","BXVSBShabAV","OdLHu28BL28","51",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","fKutkl1woOh","OdLHu28BL28","13",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","wzERTiClETp","OdLHu28BL28","51",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","VJLbRW6R553","OdLHu28BL28","13",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","GWDE9M05Fyf","OdLHu28BL28","2",,
"L9y9A4uG3rY","2017","PjJrujKwMvY","yboc4U6mh3p","OdLHu28BL28","0",,
"Z5kOeISUYMI","2017","t0zCVxe2wkB","Gm6B7Z9Tbxs","OdLHu28BL28","2",,
"Z5kOeISUYMI","2017","t0zCVxe2wkB","xP7pDf7Dsya","OdLHu28BL28","0",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","cYxMZbJKie1","OdLHu28BL28","2",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","KLEhX0pJjLD","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","p9ngKMI1HlP","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","ICQVBpakGjE","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","LXuJtbiUk7o","OdLHu28BL28","23",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","R54ocOMuaZA","OdLHu28BL28","16",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","CuAKN91lKD6","OdLHu28BL28","79",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","MEQrzTnlr9a","OdLHu28BL28","37",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","VVHFpTkvtp2","OdLHu28BL28","79",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","FtKeuScH4zG","OdLHu28BL28","37",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","BXVSBShabAV","OdLHu28BL28","79",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","fKutkl1woOh","OdLHu28BL28","37",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","wzERTiClETp","OdLHu28BL28","79",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","VJLbRW6R553","OdLHu28BL28","37",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","GWDE9M05Fyf","OdLHu28BL28","2",,
"L9y9A4uG3rY","2017","t0zCVxe2wkB","yboc4U6mh3p","OdLHu28BL28","0",,
"Z5kOeISUYMI","2017","K9f6OavyAsf","Gm6B7Z9Tbxs","OdLHu28BL28","0",,
"Z5kOeISUYMI","2017","K9f6OavyAsf","xP7pDf7Dsya","OdLHu28BL28","0",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","cYxMZbJKie1","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","KLEhX0pJjLD","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","p9ngKMI1HlP","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","ICQVBpakGjE","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","LXuJtbiUk7o","OdLHu28BL28","12",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","R54ocOMuaZA","OdLHu28BL28","4",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","CuAKN91lKD6","OdLHu28BL28","56",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","MEQrzTnlr9a","OdLHu28BL28","30",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","VVHFpTkvtp2","OdLHu28BL28","56",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","FtKeuScH4zG","OdLHu28BL28","30",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","BXVSBShabAV","OdLHu28BL28","56",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","fKutkl1woOh","OdLHu28BL28","30",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","wzERTiClETp","OdLHu28BL28","56",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","VJLbRW6R553","OdLHu28BL28","30",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","GWDE9M05Fyf","OdLHu28BL28","1",,
"L9y9A4uG3rY","2017","K9f6OavyAsf","yboc4U6mh3p","OdLHu28BL28","1",,
"Z5kOeISUYMI","2017","mVjvQPVEjR6","Gm6B7Z9Tbxs","OdLHu28BL28","4",,
"Z5kOeISUYMI","2017","mVjvQPVEjR6","xP7pDf7Dsya","OdLHu28BL28","3",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","cYxMZbJKie1","OdLHu28BL28","7",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","KLEhX0pJjLD","OdLHu28BL28","7",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","p9ngKMI1HlP","OdLHu28BL28","13",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","ICQVBpakGjE","OdLHu28BL28","10",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","LXuJtbiUk7o","OdLHu28BL28","220",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","R54ocOMuaZA","OdLHu28BL28","60",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","CuAKN91lKD6","OdLHu28BL28","491",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","MEQrzTnlr9a","OdLHu28BL28","110",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","VVHFpTkvtp2","OdLHu28BL28","491",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","FtKeuScH4zG","OdLHu28BL28","110",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","BXVSBShabAV","OdLHu28BL28","491",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","fKutkl1woOh","OdLHu28BL28","110",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","wzERTiClETp","OdLHu28BL28","491",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","VJLbRW6R553","OdLHu28BL28","110",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","GWDE9M05Fyf","OdLHu28BL28","14",,
"L9y9A4uG3rY","2017","mVjvQPVEjR6","yboc4U6mh3p","OdLHu28BL28","2",,
"Z5kOeISUYMI","2017","TFTsjlwBeca","Gm6B7Z9Tbxs","NbvMUkJmS5N","0",,
"Z5kOeISUYMI","2017","TFTsjlwBeca","xP7pDf7Dsya","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","cYxMZbJKie1","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","KLEhX0pJjLD","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","p9ngKMI1HlP","NbvMUkJmS5N","11",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","ICQVBpakGjE","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","LXuJtbiUk7o","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","R54ocOMuaZA","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","CuAKN91lKD6","NbvMUkJmS5N","0",,
"L9y9A4uG3rY","2017","TFTsjlwBeca","MEQrzTnlr9a","NbvMUkJmS5N","34",,
