"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","VJLbRW6R553","NbvMUkJmS5N","56",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","GWDE9M05Fyf","NbvMUkJmS5N","23",,
"JxBTk0UYjjf","2017","S2nFt5STJyM","yboc4U6mh3p","NbvMUkJmS5N","20",,
"bhZUgdZZHMq","2017","PjJrujKwMvY","Gm6B7Z9Tbxs","NbvMUkJmS5N","1",,
"bhZUgdZZHMq","2017","PjJrujKwMvY","xP7pDf7Dsya","NbvMUkJmS5N","9",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","cYxMZbJKie1","NbvMUkJmS5N","4",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","KLEhX0pJjLD","NbvMUkJmS5N","4",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","p9ngKMI1HlP","NbvMUkJmS5N","4",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","ICQVBpakGjE","NbvMUkJmS5N","2",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","LXuJtbiUk7o","NbvMUkJmS5N","12",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","R54ocOMuaZA","NbvMUkJmS5N","2",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","CuAKN91lKD6","NbvMUkJmS5N","117",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","MEQrzTnlr9a","NbvMUkJmS5N","53",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","VVHFpTkvtp2","NbvMUkJmS5N","117",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","FtKeuScH4zG","NbvMUkJmS5N","53",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","BXVSBShabAV","NbvMUkJmS5N","117",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","fKutkl1woOh","NbvMUkJmS5N","53",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","wzERTiClETp","NbvMUkJmS5N","117",,
"JxBTk0UYjjf","2017","PjJrujKwMvY","VJLbRW6R553","NbvMUkJmS5N","53",,
